sample,platform,fq1,fq2
ERR1193759,Illumina,tb_data/ERR1193759_1.fastq.gz,tb_data/ERR1193759_2.fastq.gz
ERR4423494,Illumina,tb_data/ERR4423494_1.fastq.gz,tb_data/ERR4423494_2.fastq.gz
